제목,URL,썸네일,태그,게시일,추가일
📢 오피셜(?) 김택연 6.5등신 [두런두런 EP.15],https://www.youtube.com/watch?v=X5CL92Imsc4,https://img.youtube.com/vi/X5CL92Imsc4/maxresdefault.jpg,두런두런,2026년 8월 8일,2026년 8월 9일 오후 6:01
약속의 8회 짜릿한 동점! 그리고 철벽 호수비까지! [두런두런 EP.14],https://www.youtube.com/watch?v=mJmYiMNhl1c,https://img.youtube.com/vi/mJmYiMNhl1c/maxresdefault.jpg,두런두런,2026년 8월 7일,2026년 8월 9일 오후 6:01
썸네일 팔은 누구 팔일까요〰️⁉️  [두런두런 EP.13],https://www.youtube.com/watch?v=SBjtAOuqy3c,https://img.youtube.com/vi/SBjtAOuqy3c/maxresdefault.jpg,두런두런,2026년 8월 6일,2026년 8월 6일 오후 9:12
덥고☀️ 습해도💦 사랑이 넘치는 두산베어스💕 [두런두런 EP.12],https://www.youtube.com/watch?v=FD7TrN8oAkA,https://img.youtube.com/vi/FD7TrN8oAkA/maxresdefault.jpg,두런두런,2026년 8월 5일,2026년 8월 6일 오전 10:25
벤자민처럼 순조롭게 후반기 출발! 🐻 [두런두런 EP.11],https://www.youtube.com/watch?v=7OH7xtj2p6M,https://img.youtube.com/vi/7OH7xtj2p6M/maxresdefault.jpg,두런두런,2026년 8월 4일,2026년 8월 6일 오전 10:25
[애프터게임] #김정우 #김대한 #박찬호 #조수행 #김민석 (08.02),https://www.youtube.com/watch?v=m-6iSgxV1vc,https://img.youtube.com/vi/m-6iSgxV1vc/maxresdefault.jpg,애프터게임,2026년 8월 3일,2026년 8월 6일 오전 10:25
올라가자 더 높은 곳으로🔥 [잠실직캠] (08.02),https://www.youtube.com/watch?v=ASHLrwoPyfQ,https://img.youtube.com/vi/ASHLrwoPyfQ/maxresdefault.jpg,잠실직캠,2026년 8월 3일,2026년 8월 6일 오전 10:25
#댓글이벤트 💪몬스터에너지와 함께한 택연의 하루🔥 [베어스티비],https://www.youtube.com/watch?v=L6jL0Uk0uu4,https://img.youtube.com/vi/L6jL0Uk0uu4/maxresdefault.jpg,베어스티비,2026년 8월 3일,2026년 8월 6일 오전 10:25
마치 만화같은 피치국🍑의 단단한 야구 일1️⃣대기 박치국의 #위두미 💬,https://www.youtube.com/watch?v=zx39A71MONw,https://img.youtube.com/vi/zx39A71MONw/maxresdefault.jpg,위두미,2026년 8월 3일,2026년 8월 6일 오전 10:25
8월 2일(일) LG vs 두산 | 2026 정규시즌 H/L,https://www.youtube.com/watch?v=KnddpRKgbBk,https://img.youtube.com/vi/KnddpRKgbBk/maxresdefault.jpg,하이라이트,2026년 8월 2일,2026년 8월 6일 오전 10:25
